name,image_link,state,category,latitude,longitude,city
Mammoth Mountain,NO_IMAGE_AVAILABLE,CA,Ski Resort,37.6485,-119.0373,Mammoth Lakes
Mount Shasta,NO_IMAGE_AVAILABLE,CA,Mountain,41.4097,-122.1948,Mount Shasta
Mono Lake,NO_IMAGE_AVAILABLE,CA,Lake,37.9975,-119.0187,Lee Vining
Anza-Borrego Desert State Park,NO_IMAGE_AVAILABLE,CA,State Park,33.255,-116.3981,Borrego Springs
Cabazon Dinosaurs,NO_IMAGE_AVAILABLE,CA,Roadside Attraction,33.9172,-116.7872,Cabazon
Salvation Mountain,NO_IMAGE_AVAILABLE,CA,Roadside Attraction,33.2547,-115.4725,Niland
Integratron,NO_IMAGE_AVAILABLE,CA,Roadside Attraction,34.3658,-116.3897,Landers
Bottle Tree Ranch,NO_IMAGE_AVAILABLE,CA,Roadside Attraction,34.5989,-117.3342,Oro Grande
World's Largest Thermometer,NO_IMAGE_AVAILABLE,CA,Roadside Attraction,35.2655,-116.0745,Baker
Palm Springs Aerial Tramway,NO_IMAGE_AVAILABLE,CA,Tourist Attraction,33.8303,-116.5453,Palm Springs
Balboa Park,NO_IMAGE_AVAILABLE,CA,Park,32.7323,-117.1491,San Diego
Griffith Observatory,NO_IMAGE_AVAILABLE,CA,Observatory,34.1184,-118.3004,Los Angeles
San Jose Downtown,NO_IMAGE_AVAILABLE,CA,City Center,37.3382,-121.8863,San Jose
Fremont Central Park,NO_IMAGE_AVAILABLE,CA,Park,37.5485,-121.9886,Fremont
Irvine Spectrum Center,NO_IMAGE_AVAILABLE,CA,Shopping Center,33.6846,-117.8265,Irvine
Huntington Beach Pier,NO_IMAGE_AVAILABLE,CA,Landmark,33.6559,-118.005,Huntington Beach
Glendale Galleria,NO_IMAGE_AVAILABLE,CA,Shopping Center,34.1425,-118.2551,Glendale
Santa Clarita Valley,NO_IMAGE_AVAILABLE,CA,Scenic Drive,34.3917,-118.5426,Santa Clarita
Garden Grove Historical Society,NO_IMAGE_AVAILABLE,CA,Historical Site,33.7739,-117.9414,Garden Grove
Oceanside Pier,NO_IMAGE_AVAILABLE,CA,Landmark,33.1959,-117.3795,Oceanside
Rancho Cucamonga Epicenter,NO_IMAGE_AVAILABLE,CA,Entertainment,34.1064,-117.5931,Rancho Cucamonga
Ontario Mills,NO_IMAGE_AVAILABLE,CA,Shopping Center,34.0633,-117.6509,Ontario
Lancaster Museum of Art and History,NO_IMAGE_AVAILABLE,CA,Museum,34.6868,-118.1542,Lancaster
Elk Grove Regional Park,NO_IMAGE_AVAILABLE,CA,Park,38.4088,-121.3716,Elk Grove
Palmdale Aerospace Walk of Honor,NO_IMAGE_AVAILABLE,CA,Landmark,34.5794,-118.1165,Palmdale
"World's Largest Redwood Tree Service Station (1936), angle, Route 101, Ukiah, California",https://cdn.loc.gov/service/pnp/mrg/00000/00007v.jpg,CA,Gas Station,39.1501662,-123.2077861,Ukiah
"Gordon Spencer gas station, 4691 Huntington Drive, South Pasadena, California",https://cdn.loc.gov/service/pnp/mrg/00000/00022v.jpg,CA,Gas Station,34.1133062,-118.1478291,South Pasadena
"Mattoon Service Station (pre-fabricated), angle view, National & Washington Boulevards, Culver City, California",https://cdn.loc.gov/service/pnp/mrg/00000/00037v.jpg,CA,Gas Station,34.0211224,-118.396466,Culver City
"Richfield Gas, Route 66, Cucamonga, California",https://cdn.loc.gov/service/pnp/mrg/00000/00038v.jpg,CA,Gas Station,34.0991995,-117.6022102,Cucamonga
"Far-Go gas pumps, Main Street, Barstow, California",https://cdn.loc.gov/service/pnp/mrg/00000/00053v.jpg,CA,Gas Station,34.8986215,-117.0244313,Barstow
"Earl Schieb Auto Painting sign, upper detail, Olympic Boulevard, Beverly Hills, California",https://cdn.loc.gov/service/pnp/mrg/00000/00063v.jpg,CA,Sign,34.0696501,-118.3963062,Beverly Hills
"Compton Car Wash, Rosecrans Avenue, Compton, California",https://cdn.loc.gov/service/pnp/mrg/00000/00068v.jpg,CA,Other,33.894927,-118.226624,Compton
"Delta Queen Car Wash, side view, Hamilton Avenue near Bascom, Campbell, California",https://cdn.loc.gov/service/pnp/mrg/00000/00069v.jpg,CA,Other,37.2870626,-121.944881,Campbell
"Delta Queen Car Wash, front view, Hamilton Avenue near Bascom, Campbell, California",https://cdn.loc.gov/service/pnp/mrg/00000/00070v.jpg,CA,Other,37.2870626,-121.944881,Campbell
"Hillborn Top Shop formerly Gates Tires, tower view, Washington Place 7 Grandview, Mar Vista, California",https://cdn.loc.gov/service/pnp/mrg/00000/00071v.jpg,CA,Historical Building,34.0037605,-118.4391641,Mar Vista
"The Donut Hole, straight-on view, no cars, Amar Road, La Puente, California",https://cdn.loc.gov/service/pnp/mrg/00000/00081v.jpg,CA,Other,34.0280619,-117.953097,La Puente
"The Donut Hole, angle view, Amar Road, La Puente, California",https://cdn.loc.gov/service/pnp/mrg/00000/00082v.jpg,CA,Other,34.0280619,-117.953097,La Puente
"Hoot Owl Cafe, horizontal view, 8711 Long Beach Boulevard, Southgate, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00000/00084v.jpg,CA,Restaurant,34.0536909,-118.242766,Los Angeles
"Hoot Owl Cafe, side view, 8711 Long Beach Boulevard, Southgate, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00000/00085v.jpg,CA,Restaurant,34.0536909,-118.242766,Los Angeles
"The Mad Greek (formerly Sam's Roast Beef), 6th Street, Corona, California",https://cdn.loc.gov/service/pnp/mrg/00000/00097v.jpg,CA,Other,33.8752945,-117.566444,Corona
"McDonald's, Foothill Boulevard, Azusa, California",https://cdn.loc.gov/service/pnp/mrg/00100/00137v.jpg,CA,Other,34.1338751,-117.9056046,Azusa
"Tower Restaurant, angle 1, University Avenue and Reno Drive, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00100/00144v.jpg,CA,Historical Building,32.7174202,-117.162772,San Diego
"Tower Restaurant, angle 2, University Avenue and Rene Drive, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00100/00145v.jpg,CA,Historical Building,32.7174202,-117.162772,San Diego
"George Joe Restaurant, horizontal view, Murray Drive & Grossmont Boulevard, La Mesa, California",https://cdn.loc.gov/service/pnp/mrg/00100/00152v.jpg,CA,Restaurant,32.7678288,-117.0230839,La Mesa
"Motel Inn (1925) (""first motel""), horizontal view, Route 101, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00100/00178v.jpg,CA,Hotel,35.3540209,-120.375716,San Luis Obispo
"Motel Inn (""first motel""), vertical view, Route 101, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00100/00179v.jpg,CA,Hotel,35.3540209,-120.375716,San Luis Obispo
"Log Cabin Motel Office, San Leandro, California",https://cdn.loc.gov/service/pnp/mrg/00100/00190v.jpg,CA,Hotel,37.7249296,-122.1560768,San Leandro
"Motel Crystal Pier, entrance, Pacific Beach, California",https://cdn.loc.gov/service/pnp/mrg/00200/00202v.jpg,CA,Hotel,32.7978268,-117.2403183,Pacific Beach
"Motel Crystal Pier, side view, Pacific Beach, California",https://cdn.loc.gov/service/pnp/mrg/00200/00203v.jpg,CA,Hotel,32.7978268,-117.2403183,Pacific Beach
"Log Cabin Motel, closer front view, 830 Market Street, Morro Bay, California",https://cdn.loc.gov/service/pnp/mrg/00200/00231v.jpg,CA,Hotel,35.3658075,-120.849901,Morro Bay
"Log Cabin Motel, diagonal view, 830 Market Street, Morro Bay, California",https://cdn.loc.gov/service/pnp/mrg/00200/00232v.jpg,CA,Hotel,35.3658075,-120.849901,Morro Bay
"Mission Motel, overall view, Mt. Vernon Avenue & Orange Street, San Bernardino, California",https://cdn.loc.gov/service/pnp/mrg/00200/00235v.jpg,CA,Hotel,34.8253019,-116.0833144,San Bernardino
"Mission Motel, diagonal view 1, Mt. Vernon Avenue & Orange Street, San Bernardino, California",https://cdn.loc.gov/service/pnp/mrg/00200/00236v.jpg,CA,Hotel,34.8253019,-116.0833144,San Bernardino
"El Monte Drive-In Theater, Lower Azusa Road, El Monte, California",https://cdn.loc.gov/service/pnp/mrg/00200/00299v.jpg,CA,Theater,34.0751571,-118.036849,El Monte
"Lakewood Drive-In Theater, Carson Street, Lakewood, California",https://cdn.loc.gov/service/pnp/mrg/00300/00300v.jpg,CA,Theater,33.8503463,-118.117191,Lakewood
"Tri City Drive-In Theater, straight-on view, Redlands Boulevard, Loma Linda, California",https://cdn.loc.gov/service/pnp/mrg/00300/00301v.jpg,CA,Theater,34.0537971,-117.2610925,Loma Linda
"San Pedro Drive-In Theater, angle from right, gray sky, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00303v.jpg,CA,Theater,34.0536909,-118.242766,Los Angeles
"San Pedro Drive-In Theater, angle from right, blue sky, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00304v.jpg,CA,Theater,34.0536909,-118.242766,Los Angeles
"San Pedro Drive-In Theater, wide-angle straight-on view of mural itself, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00305v.jpg,CA,Theater,34.0536909,-118.242766,Los Angeles
"San Pedro Drive-In Theater, angle from left, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00306v.jpg,CA,Theater,34.0536909,-118.242766,Los Angeles
"San Pedro Drive-In Theater, closer view of angle from left Gaffey Street, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00307v.jpg,CA,Theater,34.0536909,-118.242766,Los Angeles
"Van Nuys Drive-In Theater, Roscoe Boulevard, Van Nuys, California",https://cdn.loc.gov/service/pnp/mrg/00300/00308v.jpg,CA,Theater,34.1866193,-118.4486675,Van Nuys
"Terrace Drive-In Theater, Terrace Way, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00300/00322v.jpg,CA,Theater,35.3738712,-119.019463,Bakersfield
"The Tower Bowl, left side of tower detail, Broadway near Kettner, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00300/00340v.jpg,CA,Historical Building,32.7174202,-117.162772,San Diego
"The Tower Bowl, straight-on tower view 2, Broadway near Kettner, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00300/00341v.jpg,CA,Historical Building,32.7174202,-117.162772,San Diego
"City Hall, Mission Boulevard near D Street, Hayward, California",https://cdn.loc.gov/service/pnp/mrg/00400/00412v.jpg,CA,Religious Site,37.6688205,-122.080796,Hayward
"Arcata Theater, G Street, Arcata, California",https://cdn.loc.gov/service/pnp/mrg/00400/00447v.jpg,CA,Theater,40.866517,-124.08284,Arcata
"Reel Joy Theater, King City, California",https://cdn.loc.gov/service/pnp/mrg/00400/00449v.jpg,CA,Theater,36.2135291,-121.1247365,King City
"Tower Theater Box Office, Olive Street, Fresno, California",https://cdn.loc.gov/service/pnp/mrg/00400/00450v.jpg,CA,Theater,36.7394421,-119.78483,Fresno
"Merced Theater, Main Street, Merced, California",https://cdn.loc.gov/service/pnp/mrg/00400/00451v.jpg,CA,Theater,37.1641544,-120.7678602,Merced
"Merced Theater, marquee neon detail, Main Street, Merced, California",https://cdn.loc.gov/service/pnp/mrg/00400/00452v.jpg,CA,Theater,37.1641544,-120.7678602,Merced
"Loyola Theater, Manchester & Sepulveda Boulevards, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00453v.jpg,CA,Theater,33.9597349,-118.400632,Westchester
"Loyola Theater, tower detail, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00454v.jpg,CA,Theater,33.9597349,-118.400632,Westchester
"Loyola Theater, defaced, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00455v.jpg,CA,Theater,33.9597349,-118.400632,Westchester
"Loyola Theater, forecourt, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00456v.jpg,CA,Theater,33.9597349,-118.400632,Westchester
"Loyola Theater, ticket booth, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00457v.jpg,CA,Theater,33.9597349,-118.400632,Westchester
"McDougal Building (1898), overall vertical, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00523v.jpg,CA,Historical Building,36.6744117,-121.655037,Salinas
"McDougal Building (1898), corner detail, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00524v.jpg,CA,Historical Building,36.6744117,-121.655037,Salinas
"McDougal Building, entrance multi-columns, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00525v.jpg,CA,Historical Building,36.6744117,-121.655037,Salinas
"McDougal Building, entrance multi-columns detail, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00526v.jpg,CA,Historical Building,36.6744117,-121.655037,Salinas
"McDougal Building (1898), entrance detail, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00527v.jpg,CA,Historical Building,36.6744117,-121.655037,Salinas
"B.P.O.E. Elks Lodge, Main Street, Alturas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00533v.jpg,CA,Other,41.487123,-120.542327,Alturas
"Moose Lodge, Chester Avenue, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00500/00534v.jpg,CA,Other,35.3738712,-119.019463,Bakersfield
"Masonic Temple, angle view, Mineral King Avenue, Visalia, California",https://cdn.loc.gov/service/pnp/mrg/00500/00535v.jpg,CA,Other,36.3302284,-119.292058,Visalia
"Masonic Temple, straight-on view, Mineral King Avenue, Visalia, California",https://cdn.loc.gov/service/pnp/mrg/00500/00536v.jpg,CA,Other,36.3302284,-119.292058,Visalia
"I.O.O.F. Building (now an antique store), Oak Street, Red Bluff, California",https://cdn.loc.gov/service/pnp/mrg/00500/00542v.jpg,CA,Historical Building,40.1784279,-122.235923,Red Bluff
"Orchid Beauty Shop, 3586 Adams Avenue, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00500/00594v.jpg,CA,Retail,32.7174202,-117.162772,San Diego
"Nolo's Barber Shop, Sepulveda Boulevard, Van Nuys, California",https://cdn.loc.gov/service/pnp/mrg/00600/00605v.jpg,CA,Retail,34.1866193,-118.4486675,Van Nuys
"Santa Fe Railroad Station, 7th Street, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00600/00629v.jpg,CA,Gas Station,33.9824949,-117.374238,Riverside
"Union Pacific Railroad Station, near 7th Street and Vine, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00600/00630v.jpg,CA,Gas Station,33.9824949,-117.374238,Riverside
"Coca Cola Bottling Company, overall diagonal view from left, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00641v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"Coca Cola Bottling Company, overall diagonal view from right, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00642v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"Coca Cola Bottling Company, closer diagonal view from right, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00643v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"Coca Cola Bottling Company, two-door detail, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00644v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"Coca Cola Bottling Company, single door detail, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00645v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"Coca Cola Bottling Company, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00646v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"Coca Cola Bottling Company, giant Coke bottle corner detail, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00647v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"Coca Cola Bottling Company, giant Coke bottle closer view, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00648v.jpg,CA,Other,34.0536909,-118.242766,Los Angeles
"The Hogan, Main Street, San Jacinto, California",https://cdn.loc.gov/service/pnp/mrg/00600/00659v.jpg,CA,Other,33.7839664,-116.9589086,San Jacinto
"Deschwanden's Shoe Repair (""The Big Shoe""), angle view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00660v.jpg,CA,Other,35.3738712,-119.019463,Bakersfield
"Deschwanden's Shoe Repair (""The Big Shoe""), straight-on view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00661v.jpg,CA,Other,35.3738712,-119.019463,Bakersfield
"The Big Shoe, angle view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00662v.jpg,CA,Other,35.3738712,-119.019463,Bakersfield
"The Big Shoe, straight-on view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00663v.jpg,CA,Other,35.3738712,-119.019463,Bakersfield
"Main Street stores, angle view, Red Bluff, California",https://cdn.loc.gov/service/pnp/mrg/00600/00684v.jpg,CA,Retail,40.1784279,-122.235923,Red Bluff
"Bitter End, 5th Avenue, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00700/00745v.jpg,CA,Other,32.7174202,-117.162772,San Diego
"Thrift store, Mission Street, San Miguel, California",https://cdn.loc.gov/service/pnp/mrg/00700/00746v.jpg,CA,Retail,35.754959,-120.6932271,San Miguel
"Mendota Block, front, Main Street, Ocean Park, Santa Monica, California",https://cdn.loc.gov/service/pnp/mrg/00700/00747v.jpg,CA,Park,34.0194704,-118.491227,Santa Monica
"Live Oak Realty, angle 1, S. Sagunto Street, Santa Ynez, California",https://cdn.loc.gov/service/pnp/mrg/00700/00748v.jpg,CA,Other,34.6161143,-120.0933753,Santa Ynez
"Live Oak Realty, angle 2, S. Sagunto Street, Santa Ynez, California",https://cdn.loc.gov/service/pnp/mrg/00700/00749v.jpg,CA,Other,34.6161143,-120.0933753,Santa Ynez
"Commercial building, Alisal Street, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00700/00750v.jpg,CA,Historical Building,36.6744117,-121.655037,Salinas
"Law offices, column detail, Gabilan Street, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00700/00751v.jpg,CA,Other,36.6744117,-121.655037,Salinas
"Medico-Dental Building, entrance, Sutter Street, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/00700/00752v.jpg,CA,Historical Building,37.9577016,-121.290779,Stockton
"Commercial building, Weber Street, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/00700/00753v.jpg,CA,Historical Building,37.9577016,-121.290779,Stockton
"Shirley's Beauty Salon, 1421 Washington Boulevard, Venice, California",https://cdn.loc.gov/service/pnp/mrg/00700/00754v.jpg,CA,Other,33.995044,-118.4668875,Venice
"Beauty salon, Stockton Boulevard, Sacramento, California",https://cdn.loc.gov/service/pnp/mrg/00700/00755v.jpg,CA,Other,38.5810606,-121.493895,Sacramento
"Courthouse, angle 1, Court Street, Visalia, California",https://cdn.loc.gov/service/pnp/mrg/00800/00833v.jpg,CA,Historical Building,36.3302284,-119.292058,Visalia
"San Luis Obispo County Courthouse, angle 1, Osos Street, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00800/00834v.jpg,CA,Historical Building,35.3540209,-120.375716,San Luis Obispo
"San Luis Obispo County Courthouse, angle 2, Osos Street, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00800/00835v.jpg,CA,Historical Building,35.3540209,-120.375716,San Luis Obispo
"Modoc County Courthouse, Court Avenue, Alturas, California",https://cdn.loc.gov/service/pnp/mrg/00800/00836v.jpg,CA,Historical Building,41.487123,-120.542327,Alturas
"Moose Lodge #2171, angle 1, El Camino Real Street, Santa Margarita, California",https://cdn.loc.gov/service/pnp/mrg/00800/00862v.jpg,CA,Other,35.3899734,-120.609057,Santa Margarita
"Moose Lodge #2171, angle 2, El Camino Real Street, Santa Margarita, California",https://cdn.loc.gov/service/pnp/mrg/00800/00863v.jpg,CA,Other,35.3899734,-120.609057,Santa Margarita
"Masonic Hall, Petaluma Boulevard & Western Avenue, Petaluma, California",https://cdn.loc.gov/service/pnp/mrg/00800/00864v.jpg,CA,Other,38.2325829,-122.636465,Petaluma
"American Legion Post, Spring Street & 4th, Paso Robles, California",https://cdn.loc.gov/service/pnp/mrg/00800/00865v.jpg,CA,Other,35.6262618,-120.6901319,Paso Robles
"Holiday Inn, Hollywood, California",https://cdn.loc.gov/service/pnp/mrg/00900/00922v.jpg,CA,Hotel,34.0980031,-118.329523,Hollywood
"Hotel Stockton, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/00900/00923v.jpg,CA,Hotel,37.9577016,-121.290779,Stockton
"Mission Inn, angle 1, Orange Street, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00924v.jpg,CA,Hotel,33.9824949,-117.374238,Riverside
"Mission Inn, angle 2, Orange Street, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00925v.jpg,CA,Hotel,33.9824949,-117.374238,Riverside
"Palace Hotel (1891), State Street, Ukiah, California",https://cdn.loc.gov/service/pnp/mrg/00900/00926v.jpg,CA,Hotel,39.1501662,-123.2077861,Ukiah
"Solvang Castle Inn, angle 1, Route 246, Solvang, California",https://cdn.loc.gov/service/pnp/mrg/00900/00927v.jpg,CA,Hotel,34.5960774,-120.1381144,Solvang
"Solvang Castle Inn, angle 2, Route 246, Solvang, California",https://cdn.loc.gov/service/pnp/mrg/00900/00928v.jpg,CA,Hotel,34.5960774,-120.1381144,Solvang
"The Hopland Inn, Route 101, Hopland, California",https://cdn.loc.gov/service/pnp/mrg/00900/00929v.jpg,CA,Hotel,38.9729542,-123.1163918,Hopland
"Corner Building, State & Pearl Streets, Ukiah, California",https://cdn.loc.gov/service/pnp/mrg/00900/00934v.jpg,CA,Historical Building,39.1501662,-123.2077861,Ukiah
"Cole Block (1891), angle 2, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00900/00936v.jpg,CA,Other,32.7174202,-117.162772,San Diego
"George J. Keating Building (1890), 5th & F Streets, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00900/00937v.jpg,CA,Historical Building,32.7174202,-117.162772,San Diego
"Corner Building detail, angle 1, 12th & Park, Paso Robles, California",https://cdn.loc.gov/service/pnp/mrg/00900/00938v.jpg,CA,Park,35.6262618,-120.6901319,Paso Robles
"Corner Building detail, angle 2 (closer), 12th & Park, Paso Robles, California",https://cdn.loc.gov/service/pnp/mrg/00900/00939v.jpg,CA,Park,35.6262618,-120.6901319,Paso Robles
"Old McKinleyville Store (1897), Route 101B, McKinleyville, California",https://cdn.loc.gov/service/pnp/mrg/00900/00941v.jpg,CA,Retail,40.966005,-124.1027898,McKinleyville
"Old City Hall, angle 1, 7th & Orange Streets, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00975v.jpg,CA,Other,33.9824949,-117.374238,Riverside
"Old City Hall, angle 2, 7th & Orange Streets, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00976v.jpg,CA,Other,33.9824949,-117.374238,Riverside
