name,image_link,state,city,latitude,longitude
"Hoot Owl Cafe, horizontal view, 8711 Long Beach Boulevard, Southgate, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00000/00084v.jpg,California,Los Angeles,34.0536909,-118.242766
"Hoot Owl Cafe, side view, 8711 Long Beach Boulevard, Southgate, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00000/00085v.jpg,California,Los Angeles,34.0536909,-118.242766
"The Mad Greek (formerly Sam's Roast Beef), 6th Street, Corona, California",https://cdn.loc.gov/service/pnp/mrg/00000/00097v.jpg,California,Corona,33.8752945,-117.566444
"McDonald's, Foothill Boulevard, Azusa, California",https://cdn.loc.gov/service/pnp/mrg/00100/00137v.jpg,California,Azusa,34.1338751,-117.9056046
"Tower Restaurant, angle 1, University Avenue and Reno Drive, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00100/00144v.jpg,California,San Diego,32.7174202,-117.162772
"Tower Restaurant, angle 2, University Avenue and Rene Drive, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00100/00145v.jpg,California,San Diego,32.7174202,-117.162772
"George Joe Restaurant, horizontal view, Murray Drive & Grossmont Boulevard, La Mesa, California",https://cdn.loc.gov/service/pnp/mrg/00100/00152v.jpg,California,La Mesa,32.7678288,-117.0230839
"Motel Inn (1925) (""first motel""), horizontal view, Route 101, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00100/00178v.jpg,California,San Luis Obispo,35.3540209,-120.375716
"Motel Inn (""first motel""), vertical view, Route 101, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00100/00179v.jpg,California,San Luis Obispo,35.3540209,-120.375716
"Log Cabin Motel Office, San Leandro, California",https://cdn.loc.gov/service/pnp/mrg/00100/00190v.jpg,California,San Leandro,37.7249296,-122.1560768
"Motel Crystal Pier, entrance, Pacific Beach, California",https://cdn.loc.gov/service/pnp/mrg/00200/00202v.jpg,California,Pacific Beach,32.7978268,-117.2403183
"Motel Crystal Pier, side view, Pacific Beach, California",https://cdn.loc.gov/service/pnp/mrg/00200/00203v.jpg,California,Pacific Beach,32.7978268,-117.2403183
"Log Cabin Motel, closer front view, 830 Market Street, Morro Bay, California",https://cdn.loc.gov/service/pnp/mrg/00200/00231v.jpg,California,Morro Bay,35.3658075,-120.849901
"Log Cabin Motel, diagonal view, 830 Market Street, Morro Bay, California",https://cdn.loc.gov/service/pnp/mrg/00200/00232v.jpg,California,Morro Bay,35.3658075,-120.849901
"Mission Motel, overall view, Mt. Vernon Avenue & Orange Street, San Bernardino, California",https://cdn.loc.gov/service/pnp/mrg/00200/00235v.jpg,California,San Bernardino,34.8253019,-116.0833144
"Mission Motel, diagonal view 1, Mt. Vernon Avenue & Orange Street, San Bernardino, California",https://cdn.loc.gov/service/pnp/mrg/00200/00236v.jpg,California,San Bernardino,34.8253019,-116.0833144
"El Monte Drive-In Theater, Lower Azusa Road, El Monte, California",https://cdn.loc.gov/service/pnp/mrg/00200/00299v.jpg,California,El Monte,34.0751571,-118.036849
"Lakewood Drive-In Theater, Carson Street, Lakewood, California",https://cdn.loc.gov/service/pnp/mrg/00300/00300v.jpg,California,Lakewood,33.8503463,-118.117191
"Tri City Drive-In Theater, straight-on view, Redlands Boulevard, Loma Linda, California",https://cdn.loc.gov/service/pnp/mrg/00300/00301v.jpg,California,Loma Linda,34.0537971,-117.2610925
"San Pedro Drive-In Theater, angle from right, gray sky, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00303v.jpg,California,Los Angeles,34.0536909,-118.242766
"San Pedro Drive-In Theater, angle from right, blue sky, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00304v.jpg,California,Los Angeles,34.0536909,-118.242766
"San Pedro Drive-In Theater, wide-angle straight-on view of mural itself, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00305v.jpg,California,Los Angeles,34.0536909,-118.242766
"San Pedro Drive-In Theater, angle from left, Gaffey Street, San Pedro, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00306v.jpg,California,Los Angeles,34.0536909,-118.242766
"San Pedro Drive-In Theater, closer view of angle from left Gaffey Street, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00300/00307v.jpg,California,Los Angeles,34.0536909,-118.242766
"Van Nuys Drive-In Theater, Roscoe Boulevard, Van Nuys, California",https://cdn.loc.gov/service/pnp/mrg/00300/00308v.jpg,California,Van Nuys,34.1866193,-118.4486675
"Terrace Drive-In Theater, Terrace Way, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00300/00322v.jpg,California,Bakersfield,35.3738712,-119.019463
"The Tower Bowl, left side of tower detail, Broadway near Kettner, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00300/00340v.jpg,California,San Diego,32.7174202,-117.162772
"The Tower Bowl, straight-on tower view 2, Broadway near Kettner, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00300/00341v.jpg,California,San Diego,32.7174202,-117.162772
"City Hall, Mission Boulevard near D Street, Hayward, California",https://cdn.loc.gov/service/pnp/mrg/00400/00412v.jpg,California,Hayward,37.6688205,-122.080796
"Arcata Theater, G Street, Arcata, California",https://cdn.loc.gov/service/pnp/mrg/00400/00447v.jpg,California,Arcata,40.866517,-124.08284
"Reel Joy Theater, King City, California",https://cdn.loc.gov/service/pnp/mrg/00400/00449v.jpg,California,King City,36.2135291,-121.1247365
"Tower Theater Box Office, Olive Street, Fresno, California",https://cdn.loc.gov/service/pnp/mrg/00400/00450v.jpg,California,Fresno,36.7394421,-119.78483
"Merced Theater, Main Street, Merced, California",https://cdn.loc.gov/service/pnp/mrg/00400/00451v.jpg,California,Merced,37.1641544,-120.7678602
"Merced Theater, marquee neon detail, Main Street, Merced, California",https://cdn.loc.gov/service/pnp/mrg/00400/00452v.jpg,California,Merced,37.1641544,-120.7678602
"Loyola Theater, Manchester & Sepulveda Boulevards, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00453v.jpg,California,Westchester,33.9597349,-118.400632
"Loyola Theater, tower detail, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00454v.jpg,California,Westchester,33.9597349,-118.400632
"Loyola Theater, defaced, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00455v.jpg,California,Westchester,33.9597349,-118.400632
"Loyola Theater, forecourt, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00456v.jpg,California,Westchester,33.9597349,-118.400632
"Loyola Theater, ticket booth, Manchester & Sepulveda Boulevard, Westchester, California",https://cdn.loc.gov/service/pnp/mrg/00400/00457v.jpg,California,Westchester,33.9597349,-118.400632
"McDougal Building (1898), overall vertical, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00523v.jpg,California,Salinas,36.6744117,-121.655037
"McDougal Building (1898), corner detail, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00524v.jpg,California,Salinas,36.6744117,-121.655037
"McDougal Building, entrance multi-columns, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00525v.jpg,California,Salinas,36.6744117,-121.655037
"McDougal Building, entrance multi-columns detail, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00526v.jpg,California,Salinas,36.6744117,-121.655037
"McDougal Building (1898), entrance detail, Main & Gabilan, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00527v.jpg,California,Salinas,36.6744117,-121.655037
"B.P.O.E. Elks Lodge, Main Street, Alturas, California",https://cdn.loc.gov/service/pnp/mrg/00500/00533v.jpg,California,Alturas,41.487123,-120.542327
"Moose Lodge, Chester Avenue, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00500/00534v.jpg,California,Bakersfield,35.3738712,-119.019463
"Masonic Temple, angle view, Mineral King Avenue, Visalia, California",https://cdn.loc.gov/service/pnp/mrg/00500/00535v.jpg,California,Visalia,36.3302284,-119.292058
"Masonic Temple, straight-on view, Mineral King Avenue, Visalia, California",https://cdn.loc.gov/service/pnp/mrg/00500/00536v.jpg,California,Visalia,36.3302284,-119.292058
"I.O.O.F. Building (now an antique store), Oak Street, Red Bluff, California",https://cdn.loc.gov/service/pnp/mrg/00500/00542v.jpg,California,Red Bluff,40.1784279,-122.235923
"Orchid Beauty Shop, 3586 Adams Avenue, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00500/00594v.jpg,California,San Diego,32.7174202,-117.162772
"Nolo's Barber Shop, Sepulveda Boulevard, Van Nuys, California",https://cdn.loc.gov/service/pnp/mrg/00600/00605v.jpg,California,Van Nuys,34.1866193,-118.4486675
"Santa Fe Railroad Station, 7th Street, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00600/00629v.jpg,California,Riverside,33.9824949,-117.374238
"Union Pacific Railroad Station, near 7th Street and Vine, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00600/00630v.jpg,California,Riverside,33.9824949,-117.374238
"Coca Cola Bottling Company, overall diagonal view from left, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00641v.jpg,California,Los Angeles,34.0536909,-118.242766
"Coca Cola Bottling Company, overall diagonal view from right, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00642v.jpg,California,Los Angeles,34.0536909,-118.242766
"Coca Cola Bottling Company, closer diagonal view from right, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00643v.jpg,California,Los Angeles,34.0536909,-118.242766
"Coca Cola Bottling Company, two-door detail, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00644v.jpg,California,Los Angeles,34.0536909,-118.242766
"Coca Cola Bottling Company, single door detail, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00645v.jpg,California,Los Angeles,34.0536909,-118.242766
"Coca Cola Bottling Company, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00646v.jpg,California,Los Angeles,34.0536909,-118.242766
"Coca Cola Bottling Company, giant Coke bottle corner detail, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00647v.jpg,California,Los Angeles,34.0536909,-118.242766
"Coca Cola Bottling Company, giant Coke bottle closer view, 14th & Central Avenue, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00600/00648v.jpg,California,Los Angeles,34.0536909,-118.242766
"The Hogan, Main Street, San Jacinto, California",https://cdn.loc.gov/service/pnp/mrg/00600/00659v.jpg,California,San Jacinto,33.7839664,-116.9589086
"Deschwanden's Shoe Repair (""The Big Shoe""), angle view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00660v.jpg,California,Bakersfield,35.3738712,-119.019463
"Deschwanden's Shoe Repair (""The Big Shoe""), straight-on view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00661v.jpg,California,Bakersfield,35.3738712,-119.019463
"The Big Shoe, angle view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00662v.jpg,California,Bakersfield,35.3738712,-119.019463
"The Big Shoe, straight-on view, 10th & Chester, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00600/00663v.jpg,California,Bakersfield,35.3738712,-119.019463
"Main Street stores, angle view, Red Bluff, California",https://cdn.loc.gov/service/pnp/mrg/00600/00684v.jpg,California,Red Bluff,40.1784279,-122.235923
"Bitter End, 5th Avenue, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00700/00745v.jpg,California,San Diego,32.7174202,-117.162772
"Thrift store, Mission Street, San Miguel, California",https://cdn.loc.gov/service/pnp/mrg/00700/00746v.jpg,California,San Miguel,35.754959,-120.6932271
"Mendota Block, front, Main Street, Ocean Park, Santa Monica, California",https://cdn.loc.gov/service/pnp/mrg/00700/00747v.jpg,California,Santa Monica,34.0194704,-118.491227
"Live Oak Realty, angle 1, S. Sagunto Street, Santa Ynez, California",https://cdn.loc.gov/service/pnp/mrg/00700/00748v.jpg,California,Santa Ynez,34.6161143,-120.0933753
"Live Oak Realty, angle 2, S. Sagunto Street, Santa Ynez, California",https://cdn.loc.gov/service/pnp/mrg/00700/00749v.jpg,California,Santa Ynez,34.6161143,-120.0933753
"Commercial building, Alisal Street, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00700/00750v.jpg,California,Salinas,36.6744117,-121.655037
"Law offices, column detail, Gabilan Street, Salinas, California",https://cdn.loc.gov/service/pnp/mrg/00700/00751v.jpg,California,Salinas,36.6744117,-121.655037
"Medico-Dental Building, entrance, Sutter Street, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/00700/00752v.jpg,California,Stockton,37.9577016,-121.290779
"Commercial building, Weber Street, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/00700/00753v.jpg,California,Stockton,37.9577016,-121.290779
"Shirley's Beauty Salon, 1421 Washington Boulevard, Venice, California",https://cdn.loc.gov/service/pnp/mrg/00700/00754v.jpg,California,Venice,33.995044,-118.4668875
"Beauty salon, Stockton Boulevard, Sacramento, California",https://cdn.loc.gov/service/pnp/mrg/00700/00755v.jpg,California,Sacramento,38.5810606,-121.493895
"Courthouse, angle 1, Court Street, Visalia, California",https://cdn.loc.gov/service/pnp/mrg/00800/00833v.jpg,California,Visalia,36.3302284,-119.292058
"San Luis Obispo County Courthouse, angle 1, Osos Street, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00800/00834v.jpg,California,San Luis Obispo,35.3540209,-120.375716
"San Luis Obispo County Courthouse, angle 2, Osos Street, San Luis Obispo, California",https://cdn.loc.gov/service/pnp/mrg/00800/00835v.jpg,California,San Luis Obispo,35.3540209,-120.375716
"Modoc County Courthouse, Court Avenue, Alturas, California",https://cdn.loc.gov/service/pnp/mrg/00800/00836v.jpg,California,Alturas,41.487123,-120.542327
"Moose Lodge #2171, angle 1, El Camino Real Street, Santa Margarita, California",https://cdn.loc.gov/service/pnp/mrg/00800/00862v.jpg,California,Santa Margarita,35.3899734,-120.609057
"Moose Lodge #2171, angle 2, El Camino Real Street, Santa Margarita, California",https://cdn.loc.gov/service/pnp/mrg/00800/00863v.jpg,California,Santa Margarita,35.3899734,-120.609057
"Masonic Hall, Petaluma Boulevard & Western Avenue, Petaluma, California",https://cdn.loc.gov/service/pnp/mrg/00800/00864v.jpg,California,Petaluma,38.2325829,-122.636465
"American Legion Post, Spring Street & 4th, Paso Robles, California",https://cdn.loc.gov/service/pnp/mrg/00800/00865v.jpg,California,Paso Robles,35.6262618,-120.6901319
"Holiday Inn, Hollywood, California",https://cdn.loc.gov/service/pnp/mrg/00900/00922v.jpg,California,Hollywood,34.0980031,-118.329523
"Hotel Stockton, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/00900/00923v.jpg,California,Stockton,37.9577016,-121.290779
"Mission Inn, angle 1, Orange Street, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00924v.jpg,California,Riverside,33.9824949,-117.374238
"Mission Inn, angle 2, Orange Street, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00925v.jpg,California,Riverside,33.9824949,-117.374238
"Palace Hotel (1891), State Street, Ukiah, California",https://cdn.loc.gov/service/pnp/mrg/00900/00926v.jpg,California,Ukiah,39.1501662,-123.2077861
"Solvang Castle Inn, angle 1, Route 246, Solvang, California",https://cdn.loc.gov/service/pnp/mrg/00900/00927v.jpg,California,Solvang,34.5960774,-120.1381144
"Solvang Castle Inn, angle 2, Route 246, Solvang, California",https://cdn.loc.gov/service/pnp/mrg/00900/00928v.jpg,California,Solvang,34.5960774,-120.1381144
"The Hopland Inn, Route 101, Hopland, California",https://cdn.loc.gov/service/pnp/mrg/00900/00929v.jpg,California,Hopland,38.9729542,-123.1163918
"Corner Building, State & Pearl Streets, Ukiah, California",https://cdn.loc.gov/service/pnp/mrg/00900/00934v.jpg,California,Ukiah,39.1501662,-123.2077861
"Cole Block (1891), angle 2, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00900/00936v.jpg,California,San Diego,32.7174202,-117.162772
"George J. Keating Building (1890), 5th & F Streets, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/00900/00937v.jpg,California,San Diego,32.7174202,-117.162772
"Corner Building detail, angle 1, 12th & Park, Paso Robles, California",https://cdn.loc.gov/service/pnp/mrg/00900/00938v.jpg,California,Paso Robles,35.6262618,-120.6901319
"Corner Building detail, angle 2 (closer), 12th & Park, Paso Robles, California",https://cdn.loc.gov/service/pnp/mrg/00900/00939v.jpg,California,Paso Robles,35.6262618,-120.6901319
"Old McKinleyville Store (1897), Route 101B, McKinleyville, California",https://cdn.loc.gov/service/pnp/mrg/00900/00941v.jpg,California,McKinleyville,40.966005,-124.1027898
"Old City Hall, angle 1, 7th & Orange Streets, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00975v.jpg,California,Riverside,33.9824949,-117.374238
"Old City Hall, angle 2, 7th & Orange Streets, Riverside, California",https://cdn.loc.gov/service/pnp/mrg/00900/00976v.jpg,California,Riverside,33.9824949,-117.374238
"Maywood City Hall, Slauson & NE Fishburn, Maywood, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/00900/00977v.jpg,California,Los Angeles,34.0536909,-118.242766
"Auditorium, Bakersfield City School District, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00900/00978v.jpg,California,Bakersfield,35.3738712,-119.019463
"Central Fire Station, 21st & H, Bakersfield, California",https://cdn.loc.gov/service/pnp/mrg/00900/00979v.jpg,California,Bakersfield,35.3738712,-119.019463
"Post Office, Sycamore Street, Willows, California",https://cdn.loc.gov/service/pnp/mrg/01000/01001v.jpg,California,Willows,39.5233276,-122.193531
"Memorial Park Building, Main Street, Visalia, California",https://cdn.loc.gov/service/pnp/mrg/01000/01003v.jpg,California,Visalia,36.3302284,-119.292058
"Veteran's Memorial Building, angle 1, Route 56, Susanville, California",https://cdn.loc.gov/service/pnp/mrg/01000/01004v.jpg,California,Susanville,40.4162842,-120.653006
"Veteran's Memorial Building, angle 2, Route 56, Susanville, California",https://cdn.loc.gov/service/pnp/mrg/01000/01005v.jpg,California,Susanville,40.4162842,-120.653006
"City Hall, angle 1, Lindsay Street, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/01000/01006v.jpg,California,Stockton,37.9577016,-121.290779
"City Hall, entrance, angle 2, Lindsay Street, Stockton, California",https://cdn.loc.gov/service/pnp/mrg/01000/01007v.jpg,California,Stockton,37.9577016,-121.290779
"City Hall, angle 1, Broadway & Cook Street, Santa Maria, California",https://cdn.loc.gov/service/pnp/mrg/01000/01008v.jpg,California,Santa Maria,34.9531295,-120.435857
"City Hall, angle 2, Broadway & Cook Street, Santa Maria, California",https://cdn.loc.gov/service/pnp/mrg/01000/01009v.jpg,California,Santa Maria,34.9531295,-120.435857
"City Hall, angle 3, Broadway & Cook Street, Santa Maria, California",https://cdn.loc.gov/service/pnp/mrg/01000/01010v.jpg,California,Santa Maria,34.9531295,-120.435857
"City Hall, Main Street, Santa Monica, California",https://cdn.loc.gov/service/pnp/mrg/01000/01011v.jpg,California,Santa Monica,34.0194704,-118.491227
"Post Office (then an antiques mall), Petaluma Boulevard, Petaluma, California",https://cdn.loc.gov/service/pnp/mrg/01000/01012v.jpg,California,Petaluma,38.2325829,-122.636465
"City of Novato Community Development Building, Sherman Avenue, Novato, California",https://cdn.loc.gov/service/pnp/mrg/01000/01013v.jpg,California,Novato,38.1061979,-122.5681191
"Street view, Solvang, California",https://cdn.loc.gov/service/pnp/mrg/01000/01066v.jpg,California,Solvang,34.5960774,-120.1381144
"Street view 2, Solvang, California",https://cdn.loc.gov/service/pnp/mrg/01000/01067v.jpg,California,Solvang,34.5960774,-120.1381144
"Soft Water Wash, Main Street, Ocean Park, California",https://cdn.loc.gov/service/pnp/mrg/01000/01069v.jpg,California,Ocean Park,34.0022327,-118.4836879
"Harris Department Store, angle 2, E Street, San Bernardino, California",https://cdn.loc.gov/service/pnp/mrg/01000/01070v.jpg,California,San Bernardino,34.8253019,-116.0833144
"Thrift Store, Baseline [i.e. Base Line] Street, San Bernardino, California",https://cdn.loc.gov/service/pnp/mrg/01000/01071v.jpg,California,San Bernardino,34.8253019,-116.0833144
"Lanmart [i.e. Lan Mart] Building (1911), Petaluma Boulevard, Petaluma, California",https://cdn.loc.gov/service/pnp/mrg/01000/01072v.jpg,California,Petaluma,38.2325829,-122.636465
"Gift Shop (redwood), Route 101, Orick, California",https://cdn.loc.gov/service/pnp/mrg/01000/01073v.jpg,California,Orick,41.2867896,-124.0597937
"Retro deco building, Route 41, Morro Bay, California",https://cdn.loc.gov/service/pnp/mrg/01000/01074v.jpg,California,Morro Bay,35.3658075,-120.849901
"Pacific Boats, 1927 [i.e. 1427] Long Beach Boulevard, Long Beach, California",https://cdn.loc.gov/service/pnp/mrg/01000/01075v.jpg,California,Long Beach,33.7690164,-118.191604
"Model Drive In Cleaner, angle 1, 25th & Long Beach Boulevard, Long Beach, California",https://cdn.loc.gov/service/pnp/mrg/01000/01076v.jpg,California,Long Beach,33.7690164,-118.191604
"Model Drive In Cleaner, angle, 25th & Long Beach Boulevard, Long Beach, California",https://cdn.loc.gov/service/pnp/mrg/01000/01077v.jpg,California,Long Beach,33.7690164,-118.191604
"Repp & Mott Auction House, angle 1, 2501 E. Anaheim Street, Long Beach, California",https://cdn.loc.gov/service/pnp/mrg/01000/01078v.jpg,California,Long Beach,33.7690164,-118.191604
"Repp & Mott Auction House, angle 2, further away, 201 E. Anaheim Street, Long Beach, California",https://cdn.loc.gov/service/pnp/mrg/01000/01079v.jpg,California,Long Beach,33.7690164,-118.191604
"Boulevard Furniture, El Cajon Boulevard, El Cajon, California",https://cdn.loc.gov/service/pnp/mrg/01000/01080v.jpg,California,El Cajon,32.7947731,-116.962526
"Ruth [i.e. Roth] Draperies, Beverly Boulevard, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/01000/01081v.jpg,California,Los Angeles,34.0536909,-118.242766
"R & R Blue Print Company, 1227 Avalon Boulevard, Wilmington, California",https://cdn.loc.gov/service/pnp/mrg/01000/01082v.jpg,California,Wilmington,33.7800164,-118.262509
"Foodman Market, Pacific Coast Highway, Wilmington, California",https://cdn.loc.gov/service/pnp/mrg/01000/01083v.jpg,California,Wilmington,33.7800164,-118.262509
"Gilbert 5 10 25, 1st [i.e. I Street] & Avalon Boulevard, Wilmington, California",https://cdn.loc.gov/service/pnp/mrg/01000/01084v.jpg,California,Wilmington,33.7800164,-118.262509
"Storefront, Rose Avenue, Venice, California",https://cdn.loc.gov/service/pnp/mrg/01000/01085v.jpg,California,Venice,33.995044,-118.4668875
"Windecor, Ventura, California",https://cdn.loc.gov/service/pnp/mrg/01000/01086v.jpg,California,Ventura,34.4458248,-119.0779359
"Ritz Building (1940), Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01000/01098v.jpg,California,Eureka,40.8018746,-124.1707558
"Kofopilau, 2nd Street, Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01000/01099v.jpg,California,Eureka,40.8018746,-124.1707558
"Commercial building, 123 F Street, Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01100/01100v.jpg,California,Eureka,40.8018746,-124.1707558
"Commercial building, angle 1, 123 F Street, Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01100/01101v.jpg,California,Eureka,40.8018746,-124.1707558
"Commercial building, detail 1, 123 F Street, Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01100/01102v.jpg,California,Eureka,40.8018746,-124.1707558
"Carson Block (1892), Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01100/01103v.jpg,California,Eureka,40.8018746,-124.1707558
"Harris Department Store, stair detail, E Street, San Bernardino, California",https://cdn.loc.gov/service/pnp/mrg/01100/01104v.jpg,California,San Bernardino,34.8253019,-116.0833144
"Commercial building, straight on, Fifth Street, Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01100/01105v.jpg,California,Eureka,40.8018746,-124.1707558
"Commercial building, 2nd & F Streets, Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01100/01106v.jpg,California,Eureka,40.8018746,-124.1707558
"Graystone Distinctive Jewelry, 2nd & F Street, Eureka, California",https://cdn.loc.gov/service/pnp/mrg/01100/01107v.jpg,California,Eureka,40.8018746,-124.1707558
"Gavett Studios, 5512 Adams Avenue, San Diego, California",https://cdn.loc.gov/service/pnp/mrg/01100/01108v.jpg,California,San Diego,32.7174202,-117.162772
"Ralph Kuettel Pianos, Olive Avenue, Fresno, California",https://cdn.loc.gov/service/pnp/mrg/01100/01109v.jpg,California,Fresno,36.7394421,-119.78483
"Chuck's Billiards, 1601 Manchester, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/01100/01110v.jpg,California,Los Angeles,34.0536909,-118.242766
"Big Town Food Center, Pico & La Cienega, Los Angeles, California",https://cdn.loc.gov/service/pnp/mrg/01100/01111v.jpg,California,Los Angeles,34.0536909,-118.242766
"Heard's Market, Route 395, Litchfield, California",https://cdn.loc.gov/service/pnp/mrg/01100/01112v.jpg,California,Litchfield,40.3826772,-120.387163
"The Flower Shop (reused gas station), horizontal, Vanderhurst Street, King City, California",https://cdn.loc.gov/service/pnp/mrg/01100/01113v.jpg,California,King City,36.2135291,-121.1247365
